2014/06/02 14:17:37 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2014/06/02 14:19:37 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2014/06/02 14:19:37 INFO  - jmeter.services.FileServer: Set new base='/Users/kkirch/code/karl/deploying-nodejs-with-pm2-okcjs-slides' 
2014/06/02 14:19:40 INFO  - jmeter.gui.action.Load: Loading file: /Users/kkirch/code/forecast-api/legacy/Benchmark Forecast API.jmx 
2014/06/02 14:19:40 INFO  - jmeter.services.FileServer: Set new base='/Users/kkirch/code/forecast-api/legacy' 
2014/06/02 14:19:40 INFO  - jmeter.services.FileServer: Set new base='/Users/kkirch/code/forecast-api/legacy' 
2014/06/02 14:20:42 INFO  - jmeter.engine.StandardJMeterEngine: Listeners will be started after enabling running version 
2014/06/02 14:20:42 INFO  - jmeter.engine.StandardJMeterEngine: To revert to the earlier behaviour, define jmeterengine.startlistenerslater=false 
2014/06/02 14:20:43 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2014/06/02 14:20:43 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2014/06/02 14:20:43 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2014/06/02 14:20:43 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2014/06/02 14:20:43 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : URI Request Group 
2014/06/02 14:20:43 INFO  - jmeter.engine.StandardJMeterEngine: Starting 256 threads for group URI Request Group. 
2014/06/02 14:20:43 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2014/06/02 14:20:43 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 256 ramp-up 10 perThread 39.0625 delayedStart=true 
2014/06/02 14:20:43 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2014/06/02 14:20:43 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2014/06/02 14:20:43 INFO  - jmeter.threads.JMeterThread: jmeterthread.startearlier=true (see jmeter.properties) 
2014/06/02 14:20:43 INFO  - jmeter.threads.JMeterThread: Running PostProcessors in forward order 
2014/06/02 14:20:43 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-1 
2014/06/02 14:20:43 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-2 
2014/06/02 14:20:43 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = kkirch.norman.wdtinc.com 
2014/06/02 14:20:43 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: HTTP request retry count = 0 
2014/06/02 14:20:43 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: Setting up HTTPS TrustAll scheme 
2014/06/02 14:20:43 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-3 
2014/06/02 14:20:43 INFO  - jmeter.util.JsseSSLManager: Using default SSL protocol: TLS 
2014/06/02 14:20:43 INFO  - jmeter.util.JsseSSLManager: SSL session context: per-thread 
2014/06/02 14:20:43 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-4 
2014/06/02 14:20:43 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-5 
2014/06/02 14:20:43 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-6 
2014/06/02 14:20:43 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-7 
2014/06/02 14:20:43 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-8 
2014/06/02 14:20:43 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-9 
2014/06/02 14:20:44 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-10 
2014/06/02 14:20:44 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-11 
2014/06/02 14:20:44 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-12 
2014/06/02 14:20:44 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-13 
2014/06/02 14:20:44 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-14 
2014/06/02 14:20:44 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-15 
2014/06/02 14:20:44 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-16 
2014/06/02 14:20:44 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-17 
2014/06/02 14:20:44 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-18 
2014/06/02 14:20:44 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-19 
2014/06/02 14:20:44 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-20 
2014/06/02 14:20:44 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-21 
2014/06/02 14:20:44 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-22 
2014/06/02 14:20:44 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-23 
2014/06/02 14:20:44 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-24 
2014/06/02 14:20:44 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-25 
2014/06/02 14:20:45 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-26 
2014/06/02 14:20:45 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-27 
2014/06/02 14:20:45 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-28 
2014/06/02 14:20:45 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-29 
2014/06/02 14:20:45 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-30 
2014/06/02 14:20:45 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-31 
2014/06/02 14:20:45 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-32 
2014/06/02 14:20:45 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-33 
2014/06/02 14:20:45 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-34 
2014/06/02 14:20:45 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-35 
2014/06/02 14:20:45 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-36 
2014/06/02 14:20:45 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-37 
2014/06/02 14:20:45 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-38 
2014/06/02 14:20:45 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-39 
2014/06/02 14:20:45 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-40 
2014/06/02 14:20:45 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-41 
2014/06/02 14:20:45 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-42 
2014/06/02 14:20:45 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-43 
2014/06/02 14:20:46 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-44 
2014/06/02 14:20:46 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-45 
2014/06/02 14:20:46 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-46 
2014/06/02 14:20:46 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-47 
2014/06/02 14:20:46 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-48 
2014/06/02 14:20:46 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-49 
2014/06/02 14:20:46 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-50 
2014/06/02 14:20:46 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-51 
2014/06/02 14:20:46 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-52 
2014/06/02 14:20:46 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-53 
2014/06/02 14:20:46 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-54 
2014/06/02 14:20:46 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-55 
2014/06/02 14:20:46 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-56 
2014/06/02 14:20:46 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-57 
2014/06/02 14:20:46 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-58 
2014/06/02 14:20:46 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-59 
2014/06/02 14:20:46 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-60 
2014/06/02 14:20:47 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-61 
2014/06/02 14:20:47 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-62 
2014/06/02 14:20:47 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-63 
2014/06/02 14:20:47 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-64 
2014/06/02 14:20:47 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-65 
2014/06/02 14:20:47 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-66 
2014/06/02 14:20:47 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-67 
2014/06/02 14:20:47 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-68 
2014/06/02 14:20:47 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-69 
2014/06/02 14:20:47 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-70 
2014/06/02 14:20:47 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-71 
2014/06/02 14:20:47 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-72 
2014/06/02 14:20:47 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-73 
2014/06/02 14:20:47 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-74 
2014/06/02 14:20:47 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-75 
2014/06/02 14:20:47 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-76 
2014/06/02 14:20:47 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-77 
2014/06/02 14:20:47 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-78 
2014/06/02 14:20:48 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-79 
2014/06/02 14:20:48 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-80 
2014/06/02 14:20:48 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-81 
2014/06/02 14:20:48 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-82 
2014/06/02 14:20:48 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-83 
2014/06/02 14:20:48 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-84 
2014/06/02 14:20:48 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-85 
2014/06/02 14:20:48 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-86 
2014/06/02 14:20:48 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-87 
2014/06/02 14:20:48 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-88 
2014/06/02 14:20:48 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-89 
2014/06/02 14:20:48 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-90 
2014/06/02 14:20:48 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-91 
2014/06/02 14:20:48 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-92 
2014/06/02 14:20:48 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-93 
2014/06/02 14:20:48 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-94 
2014/06/02 14:20:48 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-95 
2014/06/02 14:20:48 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-96 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-97 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-98 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-99 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-100 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-101 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-102 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-103 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-104 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-105 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-106 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-107 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-108 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-109 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-110 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-111 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-112 
2014/06/02 14:20:49 INFO  - jmeter.gui.action.Start: Stopping test 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-113 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Thread started: URI Request Group 1-114 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Stopping: URI Request Group 1-94 
2014/06/02 14:20:49 WARN  - jmeter.threads.JMeterThread: Interrupting: URI Request Group 1-94 sampler: Temperature Max Request 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Stopping: URI Request Group 1-114 
2014/06/02 14:20:49 WARN  - jmeter.threads.JMeterThread: Interrupting: URI Request Group 1-114 sampler: Temperature Mean Request 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Stopping: URI Request Group 1-21 
2014/06/02 14:20:49 WARN  - jmeter.threads.JMeterThread: Interrupting: URI Request Group 1-21 sampler: Temperature Max Request 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Stopping: URI Request Group 1-61 
2014/06/02 14:20:49 WARN  - jmeter.threads.JMeterThread: Interrupting: URI Request Group 1-61 sampler: Init Times Request 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Stopping: URI Request Group 1-69 
2014/06/02 14:20:49 WARN  - jmeter.threads.JMeterThread: Interrupting: URI Request Group 1-69 sampler: Temperature Mean Request 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Stopping: URI Request Group 1-89 
2014/06/02 14:20:49 WARN  - jmeter.threads.JMeterThread: Interrupting: URI Request Group 1-89 sampler: Temperature Max Request 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Stopping: URI Request Group 1-45 
2014/06/02 14:20:49 WARN  - jmeter.threads.JMeterThread: Interrupting: URI Request Group 1-45 sampler: Temperature Timeseries Request 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Stopping: URI Request Group 1-41 
2014/06/02 14:20:49 WARN  - jmeter.threads.JMeterThread: Interrupting: URI Request Group 1-41 sampler: Temperature Timeseries Request 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Stopping: URI Request Group 1-97 
2014/06/02 14:20:49 WARN  - jmeter.threads.JMeterThread: Interrupting: URI Request Group 1-97 sampler: Init Times Request 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Stopping: URI Request Group 1-49 
2014/06/02 14:20:49 WARN  - jmeter.threads.JMeterThread: Interrupting: URI Request Group 1-49 sampler: Temperature Max Request 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Stopping: URI Request Group 1-50 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Stopping: URI Request Group 1-111 
2014/06/02 14:20:49 WARN  - jmeter.threads.JMeterThread: Interrupting: URI Request Group 1-111 sampler: Products Request 
2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Stopping: URI Request Group 1-47 
2014/06/02 14:20:49 WARN  - jmeter.threads.JMeterThread: Interrupting: URI Request Group 1-47 sampler: Temperature Max Request 
2014/06/02 14:20:49 WARN  - jmeter.util.JMeterUtils: Interrupted in thread URI Request Group 1-45 java.lang.InterruptedException
	at java.lang.Object.wait(Native Method)
	at java.lang.Object.wait(Object.java:502)
	at java.awt.EventQueue.invokeAndWait(EventQueue.java:1294)
	at java.awt.EventQueue.invokeAndWait(EventQueue.java:1275)
	at javax.swing.SwingUtilities.invokeAndWait(SwingUtilities.java:1348)
	at org.apache.jmeter.util.JMeterUtils.runSafe(JMeterUtils.java:1296)
	at org.apache.jmeter.visualizers.SummaryReport.add(SummaryReport.java:166)
	at org.apache.jmeter.reporters.ResultCollector.sendToVisualizer(ResultCollector.java:553)
	at org.apache.jmeter.reporters.ResultCollector.sampleOccurred(ResultCollector.java:529)
	at org.apache.jmeter.threads.ListenerNotifier.notifyListeners(ListenerNotifier.java:84)
	at org.apache.jmeter.threads.JMeterThread.notifyListeners(JMeterThread.java:783)
	at org.apache.jmeter.threads.JMeterThread.process_sampler(JMeterThread.java:443)
	at org.apache.jmeter.threads.JMeterThread.run(JMeterThread.java:257)
	at java.lang.Thread.run(Thread.java:744)

2014/06/02 14:20:49 WARN  - jmeter.util.JMeterUtils: Interrupted in thread URI Request Group 1-69 java.lang.InterruptedException
	at java.lang.Object.wait(Native Method)
	at java.lang.Object.wait(Object.java:502)
	at java.awt.EventQueue.invokeAndWait(EventQueue.java:1294)
	at java.awt.EventQueue.invokeAndWait(EventQueue.java:1275)
	at javax.swing.SwingUtilities.invokeAndWait(SwingUtilities.java:1348)
	at org.apache.jmeter.util.JMeterUtils.runSafe(JMeterUtils.java:1296)
	at org.apache.jmeter.visualizers.SummaryReport.add(SummaryReport.java:166)
	at org.apache.jmeter.reporters.ResultCollector.sendToVisualizer(ResultCollector.java:553)
	at org.apache.jmeter.reporters.ResultCollector.sampleOccurred(ResultCollector.java:529)
	at org.apache.jmeter.threads.ListenerNotifier.notifyListeners(ListenerNotifier.java:84)
	at org.apache.jmeter.threads.JMeterThread.notifyListeners(JMeterThread.java:783)
	at org.apache.jmeter.threads.JMeterThread.process_sampler(JMeterThread.java:443)
	at org.apache.jmeter.threads.JMeterThread.run(JMeterThread.java:257)
	at java.lang.Thread.run(Thread.java:744)

2014/06/02 14:20:49 INFO  - jmeter.threads.JMeterThread: Thread finished: URI Request Group 1-45 
2014/06/02 14:20:49 WARN  - jmeter.util.JMeterUtils: Interrupted in thread URI Request Group 1-21 java.lang.InterruptedException
	at java.lang.Object.wait(Native Method)
	at java.lang.Object.wait(Object.java:502)
	at java.awt.EventQueue.invokeAndWait(EventQueue.java:1294)
	at java.awt.EventQueue.invokeAndWait(EventQueue.java:1275)
	at javax.swing.SwingUtilities.invokeAndWait(SwingUtilities.java:1348)
	at org.apache.jmeter.util.JMeterUtils.runSafe(JMeterUtils.java:1296)
	at org.apache.jmeter.visualizers.SummaryReport.add(SummaryReport.java:166)
	at org.apache.jmeter.reporters.ResultCollector.sendToVisualizer(ResultCollector.java:553)
	at org.apache.jmeter.reporters.ResultCollector.sampleOccurred(ResultCollector.java:529)
	at org.apache.jmeter.threads.ListenerNotifier.notifyListeners(ListenerNotifier.java:84)
	at org.apache.jmeter.threads.JMeterThread.notifyListeners(JMeterThread.java:783)
	at org.apache.jmeter.threads.JMeterThread.process_sampler(JMeterThread.java:443)
	at org.apache.jmeter.threads.JMeterThread.run(JMeterThread.java:257)
	at java.lang.Thread.run(Thread.java:744)

2014/06/02 14:20:49 WARN  - jmeter.util.JMeterUtils: Interrupted in thread URI Request Group 1-111 java.lang.InterruptedException
	at java.lang.Object.wait(Native Method)
	at java.lang.Object.wait(Object.java:502)
	at java.awt.EventQueue.invokeAndWait(EventQueue.java:1294)
	at java.awt.EventQueue.invokeAndWait(EventQueue.java:1275)
	at javax.swing.SwingUtilities.invokeAndWait(SwingUtilities.java:1348)
	at org.apache.jmeter.util.JMeterUtils.runSafe(JMeterUtils.java:1296)
	at org.apache.jmeter.visualizers.SummaryReport.add(SummaryReport.java:166)
	at org.apache.jmeter.reporters.ResultCollector.sendToVisualizer(ResultCollector.java:553)
	at org.apache.jmeter.reporters.ResultCollector.sampleOccurred(ResultCollector.java:529)
	at org.apache.jmeter.threads.ListenerNotifier.notifyListeners(ListenerNotifier.java:84)
	at org.apache.jmeter.threads.JMeterThread.notifyListeners(JMeterThread.java:783)
	at org.apache.jmeter.threads.JMeterThread.process_sampler(JMeterThread.java:443)
	at org.apache.jmeter.threads.JMeterThread.run(JMeterThread.java:257)
	at java.lang.Thread.run(Thread.java:744)

2014/06/02 14:20:49 WARN  - jmeter.util.JMeterUtils: Interrupted in thread URI Request Group 1-41 java.lang.InterruptedException
	at java.lang.Object.wait(Native Method)
	at java.lang.Object.wait(Object.java:502)
	at java.awt.EventQueue.invokeAndWait(EventQueue.java:1294)
	at java.awt.EventQueue.invokeAndWait(EventQueue.java:1275)
	at javax.swing.SwingUtilities.invokeAndWait(SwingUtilities.java:1348)
	at org.apache.jmeter.util.JMeterUtils.runSafe(JMeterUtils.java:1296)
	at org.apache.jmeter.visualizers.SummaryReport.add(SummaryReport.java:166)
	at org.apache.jmeter.reporters.ResultCollector.sendToVisualizer(ResultCollector.java:553)
	at org.apache.jmeter.reporters.ResultCollector.sampleOccurred(ResultCollector.java:529)
	at org.apache.jmeter.threads.ListenerNotifier.notifyListeners(ListenerNotifier.java:84)
	at org.apache.jmeter.threads.JMeterThread.notifyListeners(JMeterThread.java:783)
	at org.apache.jmeter.threads.JMeterThread.process_sampler(JMeterThread.java:443)
	at org.apache.jmeter.threads.JMeterThread.run(JMeterThread.java:257)
	at java.lang.Thread.run(Thread.java:744)

2014/06/02 14:20:49 WARN  - jmeter.util.JMeterUtils: Interrupted in thread URI Request Group 1-97 java.lang.InterruptedException
